
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001725                       # Number of seconds simulated (Second)
simTicks                                   1725109500                       # Number of ticks simulated (Tick)
finalTick                                  1725109500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    173.35                       # Real time elapsed on the host (Second)
hostTickRate                                  9951408                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     665748                       # Number of bytes of host memory used (Byte)
simInsts                                      8104300                       # Number of instructions simulated (Count)
simOps                                       14470889                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    46750                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      83476                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3450220                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14488389                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14500389                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    579                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                17495                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             17748                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3422029                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.237366                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.610486                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    467001     13.65%     13.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    255792      7.47%     21.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    366998     10.72%     31.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    186544      5.45%     37.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    231613      6.77%     44.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    490780     14.34%     58.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    765473     22.37%     80.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    284845      8.32%     89.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    372983     10.90%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3422029                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     171      0.06%      0.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 34137     12.26%     12.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     12.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     12.32% # attempts to use FU when none available (Count)
