
---------- Begin Simulation Statistics ----------
simSeconds                                   0.017853                       # Number of seconds simulated (Second)
simTicks                                  17852761000                       # Number of ticks simulated (Tick)
finalTick                                 17852761000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     55.13                       # Real time elapsed on the host (Second)
hostTickRate                                323827724                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     665848                       # Number of bytes of host memory used (Byte)
simInsts                                     11382748                       # Number of instructions simulated (Count)
simOps                                       22691374                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   206469                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     411594                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         17852762                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        23019088                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       17                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       30770353                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  28657                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               327725                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            494395                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  17                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            17820572                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.726676                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.149586                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8091567     45.41%     45.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3252615     18.25%     63.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    990717      5.56%     69.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1035638      5.81%     75.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1898539     10.65%     85.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1237799      6.95%     92.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    744976      4.18%     96.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    373385      2.10%     98.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    195336      1.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              17820572                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  101552      3.68%      3.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      3.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      3.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      3.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.68% # attempts to use FU when none available (Count)
