
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029801                       # Number of seconds simulated (Second)
simTicks                                  29801394000                       # Number of ticks simulated (Tick)
finalTick                                 29801394000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     64.39                       # Real time elapsed on the host (Second)
hostTickRate                                462830866                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     653816                       # Number of bytes of host memory used (Byte)
simInsts                                     11382748                       # Number of instructions simulated (Count)
simOps                                       22691374                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   176780                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     352408                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         29801395                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22940433                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       17                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       33422025                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  20471                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               249070                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            378406                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  17                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            29786158                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.122066                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.872676                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  19251096     64.63%     64.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3066954     10.30%     74.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1058608      3.55%     78.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1672235      5.61%     84.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2247209      7.54%     91.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1409512      4.73%     96.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    576853      1.94%     98.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    305892      1.03%     99.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    197799      0.66%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              29786158                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   76540      1.99%      1.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      1.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      1.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.99% # attempts to use FU when none available (Count)
