
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001725                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     80.88% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     80.88% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAes            0      0.00%     80.88% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAesMix            0      0.00%     80.88% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     80.88% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     80.88% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     80.88% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     80.88% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     80.88% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     80.88% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     80.88% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead         2783      0.02%     80.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite         1743      0.01%     80.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead      2636569     18.18%     99.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite       131626      0.91%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total       14498772                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         4.202331                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                              277138                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.019115                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                  8396090                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                 2502836                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses         2485322                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                  24301154                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                 12003061                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses         11995656                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                     2486252                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                     12288759                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                          14496172                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                       2638660                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                      2600                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                            2771923                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                         297553                       # Number of branches executed (Count)
system.cpu.numStoreInsts                       133263                       # Number of stores executed (Count)
system.cpu.numRate                           4.201577                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                             316                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           28191                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                     8104300                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                      14470889                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.425721                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.425721                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               2.348954                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          2.348954                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                    8130217                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                   2152822                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                    13371042                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                   11864005                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                     1486580                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                    1779170                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                   3368018                       # number of misc regfile reads (Count)
system.cpu.MemDepUnit__0.insertedLoads        2625676                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores        133799                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads           26                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores           11                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                  299091                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted            297873                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect               978                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups               264162                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                  263432                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.997237                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                     291                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  0                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             303                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                 16                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              287                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted           93                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts           17337                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.branchMispredicts               852                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples      3419362                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     4.232044                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     3.430445                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0         1055302     30.86%     30.86% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1          134797      3.94%     34.80% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2          160019      4.68%     39.48% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3           99995      2.92%     42.41% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4          103672      3.03%     45.44% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5          515924     15.09%     60.53% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6            1390      0.04%     60.57% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7           72683      2.13%     62.70% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8         1275580     37.30%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total      3419362                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted              8104300                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted               14470889                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                     2755594                       # Number of memory references committed (Count)
system.cpu.commit.loads                       2622931                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                           0                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                     296841                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                   11994285                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                     5196510                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                   144                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass          443      0.00%      0.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu      2539250     17.55%     17.55% # Class of committed instruction (Count)
