
---------- Begin Simulation Statistics ----------
simSeconds                                   0.026472                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::FloatMemRead      7770894     26.29%     99.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite        25223      0.09%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total       29560922                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.116683                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                             2150264                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.072740                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 57974257                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                13483128                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        13161935                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                  29760150                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                  9925148                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses          9662079                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    16215079                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                     15495085                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                          29506637                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                      11508685                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                     54285                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                           11536543                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                        1639364                       # Number of branches executed (Count)
system.cpu.numStoreInsts                        27858                       # Number of stores executed (Count)
system.cpu.numRate                           1.114633                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                             464                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           31963                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                    11382748                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                      22691374                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               2.325631                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          2.325631                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.429991                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.429991                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                   34562219                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                  11495613                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                     9691439                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                    9638449                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                     8194885                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                    6581900                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                  14826726                       # number of misc regfile reads (Count)
system.cpu.MemDepUnit__0.insertedLoads        4905775                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores         28714                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads         1011                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores          931                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                 1698081                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted           1696102                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect             25754                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups              1669168                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                 1668095                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999357                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                     446                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  0                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             537                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                 42                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              495                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          129                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts          359327                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.branchMispredicts             25538                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples     26381049                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     0.860139                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.282174                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0        22248065     84.33%     84.33% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1          360393      1.37%     85.70% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2          485957      1.84%     87.54% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3          863561      3.27%     90.82% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4           12065      0.05%     90.86% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5          133452      0.51%     91.37% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6           31595      0.12%     91.49% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7          104394      0.40%     91.88% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8         2141567      8.12%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total     26381049                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted             11382748                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted               22691374                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                     4849782                       # Number of memory references committed (Count)
system.cpu.commit.loads                       4822741                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                           0                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                    1634193                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                    9616504                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                    16264485                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                   244                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass          319      0.00%      0.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu     11487856     50.63%     50.63% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult           14      0.00%     50.63% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv           63      0.00%     50.63% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd      3164189     13.94%     64.57% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     64.57% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     64.57% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     64.57% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     64.57% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     64.57% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     64.57% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     64.57% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd            0      0.00%     64.57% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     64.57% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu          136      0.00%     64.57% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp           12      0.00%     64.57% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt           96      0.00%     64.57% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc          288      0.00%     64.58% # Class of committed instruction (Count)
